,mc1,mc2,mc3,mc4,mc5
EX_met_D,0.0,0.0,0.0,0.0,0.0
EX_met_L,7.405200000251398,390.28799566244834,189.10734930957344,5.408530401218968,2.0563101072926884
EX_metala,0.0,0.0,0.0,0.0,0.0
EX_metsox_R_L,0.0,0.0,0.0,0.0,0.0
EX_metsox_S_L,0.0,0.0,0.0,0.0,0.0
EX_mg2,-0.0044273449906313,-0.0078315190007742,-0.0063397898298944,-0.0031814935214242723,-0.003711870675829232
EX_mn2,-0.0044273449906313,-0.0078315190007742,-0.0063397898298944,-0.0031814935214242723,-0.003711870675829232
EX_mnl,0.0,0.0,0.0,0.0,0.0
EX_mops,0.0,0.0,0.0,0.0,0.0
EX_mqn7,-0.0009517619155303,-1.2240894875503727e-06,-0.0001583202446227,-1.2191973155495361e-06,-0.0007998689335408926
EX_mqn8,-0.0010967207410885,-0.0078651538979102,-0.003993282336296,-0.00010782914046103542,-0.002359234821597056
EX_mso3,0.0,0.0,0.0,0.0,0.0
EX_n2,0.0,0.0,0.0,0.0,0.0
EX_na1,0.0,0.0,0.0,0.0,0.0
EX_nac,55.22525194626746,6.888484091512851,13.949658941103394,-0.0002826757007596825,134.77689345292038
EX_ncam,-0.0015937066199285,-1.6914682760216238e-05,-0.0014554041335941,-0.006080311341975175,-0.001466688555183282
EX_nchlphncl,102.94600000012564,1.1025033237224309,94.01317348991938,392.7315463855689,94.74202358839966
EX_nh4,400.0600000007541,400.0600000007541,400.0600000007541,400.0440665683159,400.06000000075437
EX_nzp,102.94600000012564,1.1025033237224309,94.01317348991938,392.7315463855689,94.74202358839966
EX_o2,0.0002375325150296,-8.89701636879181e-05,6.001006704536849e-05,-4.3542672756302636e-07,0.0005797038983246239
EX_ocdca,61.12537367978416,7.556453095122492,15.41675043627879,-0.0013667347690216047,149.27235994388366
EX_orn,62.98534682048671,36.021046688405704,11.015995510298922,0.5775316065473817,52.50883313294116
EX_pb,0.0,0.0,0.0,0.0,0.0
EX_phe_L,276.98891505985875,399.7191792442559,379.4423466206461,399.67139858696464,296.66432415212444
EX_pheme,-0.001895205906635,-0.0077562084436522,-0.004639264379648,-0.0031483331553090466,-0.001573632439544781
EX_pi,6.702282708458824,390.166588759301,188.78253561763563,4.40735129316829,1.2463397433912178
EX_pnto_R,-0.0088546899810353,-0.0156630380013211,-0.0126795796595615,-0.006362116188938671,-0.0074237413518858375
EX_ppa,61.37800000012567,7.671998061640238,15.51397339236746,0.0,149.780101292881
EX_ppi,99.35210238816512,394.1487439666191,207.0522798789216,5.524452610674189,128.32967530417045
EX_pro_L,174.09798338400287,398.646291049964,285.4658927419937,7.091809182001953,201.9548771530101
EX_ptrc,61.37645137818231,7.664904616896706,15.509956450726463,-6.38850914356226e-05,149.77811515793337
EX_pydam,0.0,0.0,0.0,0.0,0.0
EX_pydx,-0.0021788690519315,-0.007048904325984,-0.0053191065786677,-0.00013008154076032952,-0.0010056886571874202
EX_pydxn,-0.0004750650299456,-5.931344253440329e-05,-0.000120020133977,-4.3542672756302636e-07,-0.0011594077966492478
EX_pyr,164.17881687846125,8.772960495459301,109.3945628088295,392.2438911713398,244.38851282215614
EX_q8,-0.0010983525966139,-0.0077477511023289,-0.0039115623128509,-0.0001081774843214589,-0.0008402881619531399
EX_rib_D,36.47733856624541,0.3908596286713646,33.31214622472703,139.15782732910202,33.57040163214924
EX_ribflv,25.501940135063023,0.1853169038876103,19.588039354904595,0.40192118868037596,12.134714766544334
EX_sT_antigen,6.146000000125696,354.32601755817313,188.35974935739205,4.9148000001257515,1.363109937050126
EX_sTn_antigen,0.0,0.0,0.0,0.0,0.0
EX_salcn,0.0,0.0,0.0,0.0,0.0
EX_sbt_D,0.0,0.0,0.0,0.0,0.0
EX_ser_D,0.0,0.0,0.0,0.0,0.0
EX_ser_L,166.65665229607976,8.257231953130486,96.31025487720876,1.7481642027709086,199.81443224386703
EX_sheme,-0.0015734176265596,-0.0078070645448633,-0.0040315824468279,-0.00010861291104902193,-0.0019996959586023877
EX_so4,0.1723452396063294,-0.0076041664879085,0.0230653359426469,-0.002955049639012941,0.14484933608434858
EX_spmd,-0.0015734176266732,-0.0077477511024426,-0.0040315824468279,-0.0001081774843214589,-0.0019996959586023877
EX_srtn,102.94599999999993,1.102503323596693,94.01317348979364,392.7315463854429,94.74202358827392
EX_strch1,0.0,0.0,0.0,0.0,0.0
EX_strch2,25.649104049897232,0.2747071580931788,23.423482457624004,97.84942814968986,23.605076101567988
EX_succ,219.00467481219584,218.0357263099711,245.15347845400743,396.50063536325297,269.8195698621994
EX_sucr,0.0,0.0,-0.0120036413194384,0.0,0.0
EX_sulfac,0.0,0.0,0.0,0.0,0.0
EX_taur,105.37400000012576,0.8293773928232895,80.96399473811607,1.6861820034780521,50.14601248399276
EX_tchola,0.0,0.0,0.0,0.0,0.0
EX_tdchola,0.0,0.0,0.0,0.0,0.0
EX_thm,-0.001895205906635,-0.0077562084437659,-0.004639264379648,-0.0031483331553090466,-0.0027330402361940287
